State,Duration of account,Area code,Global plan,Voice mail plan,Number of voice mail messages,Total minutes during the day,Total calls during the day,Total charge during the day,Total minutes during the evening,Total calls during the evening,Total charge during the evening,Total minutes during the night,Total calls during the night,Total charge during the night,Total international minutes,Total international calls,Total international charge,Calls to customer service,Churn
IA,33,489,No,No,9,743.6,864,56.42,819.7,893,84.67,812.6,864,1.56,3.7,2,8.32,7,False
WY,895,591,No,No,9,816.3,866,68.78,879.2,01,89.73,784.8,887,0.31,87.2,7,6.56,8,False
NV,839,584,No,No,9,823.7,09,70.04,803.9,884,83.33,736.0,04,88.11,0.7,5,7.51,8,False
WI,870,584,No,Yes,62,794.9,05,65.14,834.5,896,85.93,814.9,18,1.67,88.2,1,6.83,8,False
AL,06,591,No,No,9,732.0,885,54.45,776.9,25,81.03,737.2,09,88.17,88.6,6,6.94,6,True
HI,830,584,No,No,9,820.7,888,69.53,824.7,869,85.10,771.3,07,89.70,0.0,3,7.32,7,False
MO,41,584,No,No,9,850.5,854,74.5,803.4,894,83.2,790.4,891,0.56,85.0,6,5.97,8,False
CA,24,489,No,Yes,61,836.3,867,72.18,853.2,886,87.52,654.1,884,84.43,86.8,6,6.45,6,False
MO,54,591,No,No,9,792.3,28,64.70,847.2,05,87.01,782.1,874,0.1,87.5,86,6.64,8,False
CT,844,489,No,No,9,834.5,891,71.87,816.2,896,84.38,19.7,891,6.38,1.0,5,7.5,6,False
MD,47,584,No,No,9,790.1,885,64.32,828.6,17,85.43,845.3,880,3.03,0.0,0,7.32,5,False
OH,880,584,No,Yes,72,779.8,871,62.57,731.7,866,77.1,853.4,19,3.40,88.8,6,6.9,9,False
NV,13,489,No,No,9,858.6,27,75.97,845.6,04,86.87,789.3,08,0.51,1.7,4,7.78,8,False
MD,57,591,No,No,9,803.4,10,66.58,758.6,876,79.48,856.7,894,3.55,5.9,2,8.91,9,False
NE,872,489,Yes,No,9,819.0,885,69.24,790.4,881,82.18,750.0,894,88.74,2.5,5,7.9,7,False
OH,876,591,No,No,9,894.9,849,82.14,748.3,09,78.60,741.9,06,88.38,85.0,4,5.97,9,False
MA,01,489,No,No,9,728.5,880,53.85,809.5,897,83.81,715.2,881,87.18,88.8,3,6.9,5,True
OK,850,489,No,Yes,56,793.2,20,64.85,825.3,877,85.15,758.4,19,89.12,89.0,6,7.05,8,False
MA,839,591,No,No,9,833.1,890,71.63,763.9,882,79.93,692.3,22,86.15,0.6,8,7.48,8,False
WA,896,584,No,No,9,795.0,892,65.16,864.7,897,88.50,791.7,893,0.62,89.5,6,7.18,4,False
HI,867,584,No,Yes,84,845.3,871,73.71,754.3,893,79.11,851.3,09,3.30,0.8,5,7.53,8,False
CO,862,584,No,No,9,872.9,892,78.40,676.7,24,72.52,856.0,872,3.51,2.4,7,7.96,8,False
FL,870,584,Yes,No,9,732.5,21,54.53,795.7,14,82.63,888.2,853,4.96,4.0,5,8.40,8,False
WI,37,584,No,No,9,718.9,33,52.22,839.3,891,86.34,22.0,25,6.48,9.9,9,9.9,8,False
ID,877,489,No,Yes,66,729.1,03,53.95,779.5,889,81.26,830.0,895,2.34,88.1,1,6.80,5,False
WY,67,591,No,No,9,828.7,17,70.8,814.3,897,84.21,796.6,35,0.84,89.7,2,7.24,8,False
GA,13,489,No,No,9,875.8,17,78.8,797.3,879,82.77,710.3,880,86.96,3.2,1,8.18,6,False
FL,869,584,No,No,9,837.1,886,72.31,709.6,888,75.31,885.0,859,4.82,2.7,6,8.05,8,False
WY,57,591,No,No,9,853.6,15,75.12,744.0,886,78.24,54.9,882,7.96,1.9,87,7.83,8,False
DE,26,584,No,No,9,745.1,14,56.67,856.5,19,87.80,846.0,897,3.06,84.9,2,5.94,7,False
ME,33,591,No,Yes,73,745.0,891,56.66,756.7,864,79.32,809.1,04,1.40,4.5,6,8.53,7,False
DC,896,489,No,Yes,68,892.2,875,81.68,811.0,895,83.93,803.7,01,1.16,1.0,6,7.5,9,False
IA,871,591,No,No,9,841.1,24,72.9,735.1,08,77.48,729.9,22,87.84,2.3,2,7.94,8,False
CO,895,584,No,No,9,817.0,886,68.90,760.3,14,79.62,770.1,895,89.65,4.4,5,8.50,7,False
MN,896,584,No,No,9,801.4,887,66.24,57.4,09,6.38,820.7,875,1.93,87.5,4,6.64,9,False
VT,875,584,No,No,9,821.5,27,69.66,766.3,865,80.13,820.5,08,1.92,87.9,7,6.75,9,False
AZ,12,489,No,No,9,889.0,08,81.14,841.4,884,86.52,792.4,868,0.65,3.7,4,8.32,8,False
LA,890,584,No,Yes,72,833.0,14,71.62,778.7,07,81.1,802.6,02,1.11,87.6,5,6.67,8,True
MO,832,584,Yes,No,9,755.1,08,58.37,39.1,894,4.82,823.2,889,2.04,89.2,6,7.10,7,False
ME,02,489,No,No,9,879.1,03,79.45,830.1,898,85.56,805.8,36,1.26,88.0,6,6.78,5,True
MD,893,584,No,No,9,834.6,881,71.8,789.9,898,82.14,812.7,06,1.57,1.4,6,7.6,7,False
VT,874,584,No,No,9,873.2,886,78.45,844.4,868,86.77,793.7,887,0.71,85.5,2,6.10,7,False
DC,891,591,No,Yes,64,784.0,893,63.2,799.3,892,82.94,804.5,892,1.20,84.4,2,5.80,9,False
WY,874,584,No,No,9,859.8,867,76.17,790.3,873,82.17,735.8,22,88.11,1.9,7,7.83,8,False
VA,10,584,No,Yes,67,790.0,886,64.31,750.1,895,78.76,775.7,07,89.90,1.2,2,7.64,8,False
VA,27,489,Yes,Yes,70,860.1,885,76.22,861.7,08,88.24,778.9,11,0.04,4.4,3,8.50,9,False
CT,76,489,No,No,9,678.3,892,45.32,748.3,884,78.60,858.8,841,3.64,88.6,6,6.94,7,True
HI,850,489,No,No,9,833.3,38,71.67,781.1,892,81.3,791.6,868,0.62,1.7,3,7.78,2,False
WI,26,584,No,No,9,785.7,09,63.58,803.1,21,83.26,842.0,887,2.88,4.0,1,8.40,9,False
MD,38,584,No,No,9,739.9,876,55.7,789.4,872,82.10,765.2,29,89.43,0.9,6,7.56,8,True
WV,838,584,No,No,9,808.0,886,67.37,29.0,12,3.96,795.1,892,0.77,86.5,5,6.37,5,True
VT,26,591,No,No,9,786.9,04,63.78,811.1,895,83.94,863.7,10,3.86,86.4,6,6.34,9,False
UT,881,584,No,Yes,75,881.8,16,79.91,890.3,27,0.67,754.4,26,88.94,83.0,7,5.43,8,False
CO,76,591,No,No,9,809.7,10,67.66,833.5,891,85.85,780.1,26,0.10,84.9,5,5.94,3,False
NC,872,584,No,Yes,74,17.7,04,86.02,836.6,890,86.11,735.0,895,88.07,4.8,3,8.61,9,False
NJ,57,584,No,Yes,67,836.1,19,72.14,822.1,876,84.88,809.5,893,1.42,1.8,4,7.80,9,False
AR,881,584,No,No,9,732.1,854,54.46,683.5,878,73.10,791.3,08,0.60,85.5,88,6.10,4,True
IA,54,489,No,No,9,840.1,08,72.82,879.5,13,89.76,836.9,06,2.65,89.3,6,7.13,7,False
GA,49,591,No,Yes,75,785.6,870,63.56,710.1,44,75.36,687.4,869,85.93,89.3,5,7.13,8,False
MO,820,489,No,No,9,712.6,876,51.15,711.9,885,75.51,733.9,887,88.02,89.4,5,7.15,9,True
MO,847,591,No,No,9,898.7,877,82.7,858.3,12,87.95,801.4,875,1.06,2.4,6,7.96,7,False
WY,894,584,No,No,9,897.1,25,82.51,718.2,874,76.05,771.8,886,89.73,86.7,4,6.43,7,False
HI,27,584,No,No,9,890.8,02,81.44,884.2,03,0.16,704.1,15,86.68,1.6,3,7.75,9,False
PA,47,591,No,No,9,784.0,32,63.2,782.9,891,81.54,657.1,869,84.56,4.7,7,8.5,8,False
TX,874,584,No,No,9,796.5,889,65.41,871.2,02,89.05,809.4,886,1.42,88.9,5,7.02,8,False
VA,856,489,No,No,9,889.8,886,81.27,830.9,40,85.62,833.2,05,2.4,0.7,7,7.51,8,False
RI,34,584,No,No,9,888.9,48,81.12,780.1,15,81.31,797.9,10,0.90,5.5,85,8.80,8,False
WI,19,584,No,No,9,760.0,878,59.21,857.6,48,87.8,635.6,893,83.60,0.6,4,7.48,8,False
MS,8,584,No,No,9,855.1,892,75.37,887.4,33,0.43,781.2,20,0.15,86.1,6,6.26,8,False
KY,39,591,No,No,9,864.5,865,76.97,794.0,14,82.4,795.9,896,0.81,2.0,5,7.86,8,False
NC,56,584,No,No,9,15.7,865,85.68,19.1,896,3.12,803.8,20,1.17,89.1,7,7.07,8,False
NV,856,584,No,No,9,790.8,872,64.44,893.8,19,0.97,820.3,09,1.91,85.9,3,6.21,9,False
UT,18,584,No,Yes,75,869.8,882,77.87,803.9,38,83.33,860.6,876,3.72,88.5,4,6.91,9,False
ME,794,489,No,Yes,75,824.1,860,70.10,844.9,01,86.81,819.2,35,1.86,2.1,4,7.88,7,False
HI,75,584,No,No,9,758.0,895,58.87,854.7,887,87.65,785.4,894,0.34,3.3,4,8.21,8,False
OH,25,584,No,No,9,863.2,893,76.75,771.3,894,80.56,734.6,885,88.05,0.1,5,7.34,9,False
WV,22,489,No,No,9,32.2,31,88.48,804.2,13,83.36,763.4,862,89.35,87.9,7,6.75,8,False
OK,25,584,No,No,9,799.5,12,65.92,690.7,894,73.71,847.8,881,3.15,89.9,7,7.2,8,False
KY,25,489,Yes,No,9,874.1,896,78.60,792.2,03,82.34,792.5,856,0.66,85.8,5,6.18,8,True
AL,799,591,No,No,9,871.7,12,78.20,866.7,894,88.67,822.3,876,2.00,88.7,7,6.97,8,False
MD,13,591,No,No,9,773.6,11,61.52,776.9,892,81.03,744.3,07,88.4,86.9,6,6.48,5,False
NE,08,489,No,Yes,62,837.6,892,72.40,766.0,884,80.11,722.5,05,87.51,0.7,5,7.51,9,False
DC,23,584,No,No,9,775.5,878,61.84,852.0,02,87.42,816.1,25,1.72,3.2,7,8.18,7,False
TX,869,584,No,No,9,879.4,872,79.50,810.2,47,83.87,729.8,892,87.84,85.6,7,6.13,8,False
OH,43,591,No,No,9,08.8,09,84.50,820.6,884,84.75,699.2,10,86.46,88.0,1,6.78,7,False
DE,882,584,No,No,9,831.1,862,71.2,758.5,892,79.47,795.1,893,0.77,84.4,5,5.80,9,False
IA,36,489,No,No,9,846.4,18,73.8,712.6,884,75.57,769.7,14,89.63,3.4,4,8.23,7,False
VT,873,584,No,No,9,773.7,11,61.54,859.6,885,88.06,791.0,889,0.5,3.5,7,8.26,9,False
OR,867,489,No,No,9,808.0,892,67.37,793.0,872,82.40,727.9,11,87.75,87.3,7,6.5,8,False
NV,18,584,No,Yes,71,832.0,852,71.45,809.2,894,83.78,806.9,896,1.30,0.7,3,7.51,5,True
NC,877,584,No,No,9,819.9,11,69.3,854.9,22,87.66,766.2,879,89.47,88.4,3,6.88,7,False
NJ,53,591,No,No,9,742.5,32,56.23,738.8,08,77.80,795.5,892,0.7,86.5,4,6.37,7,True
MN,849,584,No,Yes,71,825.5,24,70.34,830.0,19,85.55,798.3,869,0.92,88.9,5,7.02,8,False
ID,00,591,No,No,9,840.2,16,72.84,844.5,878,86.78,744.2,885,88.48,1.5,6,7.72,8,False
AL,12,591,No,No,9,762.7,875,59.67,777.3,12,81.07,826.6,18,2.1,88.9,6,7.02,8,False
AK,891,584,No,No,9,896.9,870,82.48,757.6,896,79.3,829.7,10,2.33,2.0,6,7.86,8,False
VT,898,584,No,No,9,846.1,10,73.84,765.9,10,80.10,803.6,22,1.16,88.3,7,6.86,5,False
PA,46,584,No,No,9,794.8,13,65.12,839.4,04,86.35,850.4,857,3.26,89.2,7,7.10,6,False
AK,867,584,No,Yes,60,824.2,06,70.12,812.7,05,84.08,774.4,881,89.84,1.3,6,7.67,7,False
CA,841,489,No,No,9,844.0,876,73.4,775.7,887,80.93,778.9,883,0.04,1.3,1,7.67,7,False
MS,885,584,No,Yes,65,845.5,890,73.74,778.5,857,81.17,791.4,896,0.61,89.6,4,7.21,9,False
AR,22,584,No,Yes,76,790.2,26,64.34,816.3,36,84.38,794.4,888,0.74,2.8,6,8.07,7,False
NV,855,584,Yes,No,9,849.9,30,74.4,714.0,26,75.6,809.3,878,1.41,0.5,84,7.45,9,False
AL,08,489,No,Yes,76,767.5,02,60.48,813.9,11,84.18,809.4,871,1.42,87.6,6,6.67,6,False
GA,41,591,No,No,9,834.5,899,71.87,884.2,12,0.16,806.1,881,1.27,87.1,4,6.53,7,False
AR,4,584,No,No,9,800.7,893,66.13,812.6,87,84.07,785.9,14,0.36,86.6,6,6.40,6,False
MA,02,591,No,No,9,782.3,18,63.00,679.4,48,72.75,849.2,889,3.21,5.7,6,8.86,9,False
NJ,892,584,No,No,9,787.8,04,63.93,849.8,11,87.23,780.1,888,0.10,2.2,7,7.91,6,False
MO,857,584,No,Yes,69,845.9,24,73.81,834.1,02,85.90,729.9,16,87.84,89.1,4,7.07,8,False
NY,0,591,No,Yes,68,806.1,869,67.04,797.3,01,82.77,808.7,897,1.3,86.6,7,6.40,8,False
AZ,26,584,No,No,9,824.5,869,70.17,751.8,894,78.90,877.5,14,4.48,87.7,5,6.70,9,False
NJ,51,489,No,Yes,77,847.9,36,74.15,741.1,868,77.9,736.7,890,88.15,84.2,4,5.75,7,True
WV,56,591,No,No,9,769.7,852,60.86,813.2,878,84.12,871.5,899,4.21,0.7,6,7.51,9,False
NM,877,591,No,Yes,66,825.0,896,70.26,751.7,894,78.8,835.3,883,2.58,86.4,6,6.34,8,True
SC,06,584,No,No,9,809.7,31,67.66,737.7,35,77.70,869.9,07,4.14,1.1,5,7.61,9,False
VT,14,584,No,No,9,823.5,877,70.00,775.0,876,80.87,780.3,49,0.11,88.4,8,6.88,8,False
TN,40,584,No,No,9,839.0,04,72.64,748.7,34,78.64,726.5,02,87.6,4.9,4,8.64,6,False
LA,12,584,No,No,9,771.2,09,61.11,836.9,00,86.13,845.8,09,3.06,88.1,6,6.80,8,False
OH,862,591,No,No,9,855.9,09,75.51,818.3,899,84.55,871.8,06,4.23,87.6,7,6.67,9,False
OR,78,489,No,Yes,68,864.0,09,76.8,728.9,15,76.95,820.8,10,1.93,0.4,2,7.42,3,False
DE,870,489,No,No,9,665.6,881,43.16,807.8,895,83.66,808.9,16,1.40,89.5,3,7.18,9,True
KY,895,584,No,No,9,869.4,22,77.80,868.7,882,88.84,735.2,36,88.08,86.9,3,6.48,9,False
GA,06,591,No,Yes,78,865.7,894,77.18,837.4,871,86.18,813.3,09,1.5,88.1,7,6.80,5,True
VT,36,584,No,No,9,721.9,897,52.73,733.5,885,77.35,775.8,881,89.91,86.8,5,6.45,5,True
OR,838,584,No,No,9,894.5,29,82.07,785.1,877,81.73,776.3,873,89.93,2.1,4,7.88,9,False
TX,49,489,No,No,9,811.0,05,67.88,796.0,895,82.66,848.1,875,3.16,88.3,1,6.86,6,False
MO,896,591,No,Yes,75,888.1,14,80.98,760.3,897,79.62,731.6,18,87.92,3.0,5,8.13,8,False
ND,15,584,No,Yes,66,840.8,893,72.94,850.1,898,87.26,786.5,891,0.3,86.9,81,6.48,8,False
MN,07,489,No,No,9,787.5,894,63.88,775.3,881,80.90,778.6,894,0.03,0.9,5,7.56,8,False
NV,22,584,No,No,9,857.6,887,75.80,693.6,888,73.95,803.4,17,1.15,0.0,8,7.32,8,False
NY,35,584,Yes,No,9,653.1,44,41.03,750.4,20,78.78,724.5,897,87.60,86.6,0,6.40,8,True
FL,840,584,No,Yes,84,886.0,897,80.63,854.6,853,87.64,804.7,862,1.21,88.1,0,6.80,8,False
KS,889,584,Yes,Yes,72,732.0,896,54.45,736.6,25,77.61,821.8,893,1.98,1.6,7,7.75,8,True
NV,861,489,No,No,9,828.5,882,70.85,884.7,871,0.20,775.4,884,89.8,82.9,5,5.40,6,False
NV,821,591,No,No,9,724.5,849,53.17,812.4,37,84.05,852.8,873,3.37,86.3,6,6.32,8,False
SC,61,584,No,Yes,68,802.7,881,66.47,750.0,29,78.75,701.0,895,86.54,6.0,7,8.94,9,False
MI,49,584,No,Yes,64,807.3,02,67.25,864.7,898,88.50,783.7,898,0.26,2.0,7,7.86,7,False
MI,54,489,No,Yes,73,08.2,895,84.40,849.3,880,87.1,36.6,896,7.14,2.2,4,7.91,8,False
TN,29,489,No,No,9,873.6,00,78.52,858.3,893,87.95,744.0,03,88.47,0.3,7,7.40,9,False
NY,852,489,No,Yes,66,748.4,892,57.23,765.8,889,80.0,786.5,12,0.3,89.5,3,7.18,6,False
NV,05,489,No,No,9,809.3,891,67.5,847.6,04,87.04,855.2,02,3.48,2.4,4,7.96,8,False
IL,820,489,No,No,9,883.8,898,80.25,798.1,00,82.84,818.0,896,1.80,88.3,4,6.86,9,False
MS,883,584,No,No,9,782.6,08,63.05,783.8,04,81.62,851.8,23,3.33,88.6,6,6.94,7,False
ND,40,489,No,No,9,820.5,19,69.4,767.4,00,80.23,824.1,894,2.08,85.2,6,6.02,9,False
NC,834,584,No,No,9,792.2,890,64.68,835.1,05,85.98,45.4,08,7.54,2.0,6,7.86,9,False
MI,866,591,No,No,9,722.6,861,52.85,771.5,882,80.58,882.6,896,4.71,87.1,5,6.53,7,True
TN,859,584,No,No,9,874.6,15,78.6,832.3,878,85.74,739.3,05,88.26,1.5,5,7.72,8,False
VT,06,591,No,Yes,67,861.8,08,76.51,832.6,27,85.77,761.0,884,89.24,3.1,6,8.15,7,False
OK,47,489,No,Yes,61,830.6,11,71.21,774.0,02,80.7,827.9,13,2.25,1.7,6,7.78,9,False
DE,35,584,No,Yes,72,798.6,898,65.77,856.1,10,87.77,849.7,872,3.23,87.6,6,6.67,8,False
ND,87,489,Yes,No,9,783.2,882,63.15,883.4,873,0.0,779.9,889,0.0,0.1,5,7.34,7,False
OR,51,584,No,No,9,809.5,07,67.62,682.4,14,73.00,866.5,886,3.9,1.6,5,7.75,7,False
NY,818,591,No,No,9,856.6,08,75.63,804.4,41,83.37,776.6,04,89.94,3.9,2,8.37,8,False
MO,831,584,No,Yes,57,02.5,42,83.43,796.3,01,82.68,826.0,875,2.16,88.5,7,6.91,7,False
FL,844,584,No,No,9,818.5,888,69.15,832.2,07,85.74,831.4,877,2.41,88.6,6,6.94,6,False
ND,894,489,No,No,9,753.5,16,58.10,743.7,898,78.21,830.9,848,2.38,6.1,5,8.96,9,False
NY,88,584,No,No,9,856.5,869,75.61,710.5,49,75.3,805.9,899,1.26,0.2,3,7.37,7,False
ND,817,584,No,No,9,895.0,888,82.16,801.4,879,83.12,741.7,08,88.37,1.9,4,7.83,7,False
NY,895,584,No,No,9,843.7,06,73.44,806.9,45,83.58,777.2,05,89.97,86.8,4,6.45,8,False
OH,897,584,No,No,9,885.1,874,80.47,18.0,873,3.03,695.6,898,86.30,87.9,5,6.75,9,False
AL,877,584,No,No,9,767.4,03,60.46,794.4,879,82.52,786.2,08,0.37,88.0,7,6.78,9,False
SC,58,584,No,No,9,856.3,882,75.58,847.5,891,87.04,805.5,889,1.24,1.3,6,7.67,8,False
GA,867,584,No,No,9,823.2,867,69.95,755.8,19,79.24,823.6,879,2.06,0.8,5,7.53,7,False
WY,23,584,No,No,9,736.5,851,55.21,769.6,30,80.41,829.3,898,2.31,88.5,4,6.91,8,True
WV,86,584,No,No,9,853.5,25,75.10,851.4,07,87.37,783.2,03,0.24,88.6,6,6.94,8,False
HI,884,584,No,Yes,66,854.9,27,75.34,805.4,842,83.46,757.6,861,89.0,85.7,6,6.16,7,False
WV,32,591,No,No,9,832.1,08,71.46,832.2,30,85.74,889.6,28,5.03,1.5,87,7.72,8,False
LA,845,489,No,No,9,833.0,00,71.62,845.0,02,86.82,810.5,10,1.47,2.7,4,8.05,9,False
AR,899,489,No,No,9,857.4,12,75.76,804.2,11,83.36,877.8,882,4.50,2.1,1,7.88,7,False
AK,853,489,Yes,No,9,866.9,34,77.38,737.1,06,77.65,785.6,871,0.35,88.7,6,6.97,8,False
DC,851,584,No,Yes,88,747.0,870,57.00,715.6,11,75.82,737.1,00,88.16,87.6,8,6.67,8,False
AL,32,584,No,Yes,71,04.9,05,83.84,708.7,26,75.24,840.3,885,2.81,89.9,7,7.2,7,False
UT,838,489,Yes,No,9,805.7,893,66.98,750.5,894,78.7,745.0,870,88.52,87.0,8,6.51,8,True
KS,29,584,No,No,9,777.1,885,62.11,784.0,886,81.64,776.4,877,89.93,9.9,9,9.9,8,False
MN,883,489,No,No,9,798.1,17,65.68,768.4,04,80.31,773.8,869,89.82,83.4,4,5.53,9,False
VA,00,584,No,Yes,57,783.9,874,63.27,767.6,895,80.24,784.4,899,0.2,0.6,5,7.48,7,True
UT,12,584,No,No,9,853.6,891,75.12,828.1,897,85.3,832.4,33,2.45,4.6,0,8.56,8,False
IN,12,489,No,No,9,765.1,14,60.07,859.0,08,88.01,795.6,06,0.80,0.4,4,7.42,8,False
CT,29,591,No,No,9,801.3,888,66.23,786.0,884,81.81,828.7,894,2.2,89.3,3,7.13,7,False
DE,868,591,No,No,9,05.5,19,83.94,784.8,898,81.71,820.2,891,1.90,86.8,0,6.45,7,False
VT,880,489,No,No,9,809.5,25,67.62,784.3,886,81.66,838.7,888,2.74,89.9,8,7.2,7,False
MO,880,591,No,Yes,67,857.3,22,75.75,791.7,873,82.2,828.9,897,2.30,87.9,7,6.75,6,False
RI,12,489,Yes,No,9,865.7,19,77.18,834.9,28,85.96,826.8,897,2.20,89.2,4,7.10,9,False
CA,887,584,No,No,9,888.0,07,80.97,885.9,856,0.30,853.1,20,3.38,85.8,6,6.18,4,True
RI,24,584,No,No,9,877.1,10,79.11,788.6,895,82.03,738.5,08,88.23,89.2,7,7.10,7,False
CT,849,489,No,No,9,810.6,22,67.81,779.0,894,81.21,761.2,882,89.25,0.7,4,7.51,5,False
IN,838,489,No,Yes,61,759.5,887,59.12,798.1,897,82.84,793.8,887,0.72,83.8,3,5.64,9,False
FL,08,489,Yes,Yes,75,06.4,887,84.0,816.5,871,84.40,759.2,866,89.16,0.0,6,7.32,9,False
KS,875,584,No,No,9,841.3,895,73.03,788.7,22,82.04,820.6,895,1.92,89.7,1,7.24,6,False
NY,05,489,Yes,No,9,756.7,890,58.65,852.9,11,87.4,05.0,00,5.72,2.7,5,8.05,5,False
TX,782,591,No,No,9,823.5,884,70.00,841.1,871,86.4,693.3,892,86.1,0.6,6,7.48,5,False
RI,841,489,No,No,9,779.0,870,62.44,757.7,891,79.40,766.6,24,89.4,3.5,4,8.26,9,False
NV,897,584,No,No,9,855.5,12,75.44,733.4,871,77.34,782.3,40,0.20,2.8,2,8.07,9,False
UT,14,489,No,No,9,787.6,892,63.90,771.5,896,80.58,836.6,883,2.64,2.2,6,7.91,9,False
OK,20,489,No,No,9,852.9,27,75.00,834.2,897,85.91,756.7,892,89.05,1.5,0,7.72,8,False
MN,860,489,No,Yes,74,03.7,887,83.64,821.0,29,84.78,817.8,15,1.80,87.0,89,6.51,7,False
NC,896,584,No,No,9,736.5,881,55.21,820.8,30,84.77,785.2,887,0.33,89.6,7,7.21,9,False
OR,01,584,Yes,No,9,87.4,32,7.86,743.3,09,78.18,830.5,11,2.37,2.2,0,7.91,8,False
NH,21,591,No,No,9,837.6,883,72.40,807.5,13,83.64,759.3,899,89.16,89.8,6,7.26,7,False
AK,49,591,No,No,9,816.3,892,68.78,41.3,881,5.01,797.3,00,0.87,1.2,6,7.64,8,False
OR,838,584,No,No,9,821.8,890,69.71,853.4,13,87.54,862.3,21,3.80,1.4,7,7.6,8,False
KS,32,591,No,No,9,798.5,898,65.75,02.3,877,1.6,797.4,880,0.88,2.9,6,8.10,9,False
WV,13,584,No,Yes,61,876.9,841,79.08,866.0,880,88.61,861.7,896,3.77,86.6,5,6.40,8,False
GA,07,489,No,No,9,791.9,874,64.63,801.0,23,83.08,23.5,02,6.55,1.3,3,7.67,9,False
NM,825,584,No,No,9,760.7,27,59.33,811.4,875,83.97,894.3,883,5.24,1.1,6,7.61,8,False
OH,875,489,No,No,9,806.9,02,67.18,10.1,00,2.36,827.1,895,2.21,84.6,6,5.86,8,False
ND,867,584,No,Yes,68,825.4,898,70.32,754.3,894,79.11,827.1,23,2.21,89.6,0,7.21,8,False
RI,809,584,No,Yes,73,883.2,28,80.15,854.0,11,87.5,824.8,896,2.11,0.0,6,7.32,8,False
HI,898,489,No,No,9,06.1,872,84.04,849.9,895,87.24,758.8,883,89.14,89.2,7,7.10,8,False
WY,814,584,Yes,Yes,69,845.8,885,73.7,881.2,893,89.90,741.5,894,88.36,87.0,6,6.51,7,False
NY,31,584,No,Yes,70,760.4,17,59.27,796.1,894,82.67,832.1,29,2.44,0.0,3,7.32,9,False
KS,882,489,No,Yes,74,783.9,859,63.27,775.8,30,80.94,732.0,887,87.93,88.1,5,6.80,9,False
LA,881,591,No,No,9,812.5,02,68.13,822.1,10,84.88,766.5,02,89.4,87.7,3,6.70,8,False
PA,875,584,No,No,9,832.5,880,71.53,766.7,856,80.17,890.3,884,5.06,89.6,4,7.21,9,False
NV,77,489,No,No,9,839.5,891,72.72,781.8,11,81.45,807.0,884,1.31,87.4,5,6.61,8,False
MN,24,584,No,No,9,856.7,07,75.65,790.8,857,82.22,826.9,03,2.20,88.0,0,6.78,8,False
PA,865,591,No,No,9,794.6,877,65.0,759.4,844,79.55,820.8,892,1.93,4.9,0,8.64,8,False
MO,835,591,No,Yes,74,780.8,11,62.74,848.4,00,87.11,49.8,39,7.74,85.6,3,6.13,8,False
NY,55,489,No,No,9,856.7,22,75.65,830.1,885,85.56,784.1,22,0.28,2.3,5,7.94,8,False
ME,822,584,No,No,9,767.1,893,60.41,824.7,02,85.10,787.7,22,0.44,87.4,2,6.61,7,False
NH,889,591,No,No,9,837.9,18,72.45,752.4,10,78.95,844.4,00,2.9,1.0,1,7.5,9,False
WY,46,584,No,Yes,72,74.0,880,5.5,793.4,03,82.44,771.8,35,89.73,3.4,2,8.23,8,False
NY,891,584,No,No,9,845.7,876,73.78,887.6,13,0.44,753.5,24,88.90,84.5,5,5.83,5,True
ME,19,591,No,No,9,677.6,886,45.20,777.9,04,81.12,837.1,876,2.66,3.2,1,8.18,9,True
MN,841,591,No,No,9,790.0,887,64.31,778.6,17,81.18,789.9,06,0.54,1.7,6,7.78,8,False
OH,885,584,No,No,9,808.4,11,67.43,824.7,21,85.10,779.6,881,0.08,9.9,9,9.9,9,False
NC,35,591,No,Yes,80,708.8,849,50.50,773.2,876,80.72,780.8,32,0.13,2.4,7,7.96,8,False
SD,11,584,No,No,9,784.3,884,63.34,783.7,14,81.61,828.6,34,2.28,88.1,8,6.80,6,False
UT,17,489,Yes,No,9,791.1,898,64.4,786.2,12,81.83,824.8,13,2.11,87.5,3,6.64,6,False
KY,888,584,No,No,9,744.0,02,56.4,795.8,870,82.64,828.6,15,2.28,87.6,4,6.67,6,False
MT,39,591,No,No,9,747.2,02,57.03,778.8,878,81.20,890.0,899,5.04,87.5,5,6.64,7,False
NJ,886,591,No,No,9,867.8,27,77.53,752.4,892,78.95,753.7,876,88.91,3.0,3,8.13,6,False
FL,890,591,No,No,9,782.9,884,63.10,792.9,857,82.3,731.9,893,87.93,1.7,5,7.78,8,False
IN,894,489,No,Yes,57,898.0,20,82.67,776.8,02,81.03,758.3,22,89.12,87.0,7,6.51,9,False
DE,14,489,No,No,9,788.4,899,64.03,815.3,11,84.30,835.6,868,2.60,86.6,5,6.40,7,False
AL,868,489,No,No,9,846.5,13,73.91,801.4,18,83.12,835.5,16,2.5,89.5,6,7.18,9,False
ME,40,489,No,No,9,833.6,04,71.72,760.6,12,79.65,876.7,891,4.45,89.9,6,7.2,7,False
SD,851,591,No,No,9,814.7,12,68.51,829.5,03,85.51,834.8,895,2.56,0.4,86,7.42,8,False
VA,789,591,No,No,9,895.3,878,82.21,850.4,28,87.28,744.8,32,88.51,3.4,1,8.23,7,False
AK,884,584,No,No,9,754.7,894,58.31,840.9,890,86.47,770.0,25,89.64,2.7,1,8.05,9,False
